"Middleton, Don",West,B,11,DON & SIS MIDDLETON,50TH ANNIVERSARY,MARRIED 12-30-54,
Prescotts,West,B,11,GOD BLESS,FROM,THE PRESCOTTS,
"Cacaro, John",West,B,11,JOHN ROSS CACARO,AND FAMILY,,
"Kiessling, Stephen",West,B,12,STEPHEN AND BETH,EMILY AND ZACHARY,KIESSLING,
"Johnsons, Scott",West,B,12,THE JOHNSONS,SCOTT AND BONNA,,
"Bryan, Dave",West,B,12,DAVE & KATHLEEN,"EVAN, CONNOR & DYLAN",BRYAN,
"Robbins, Virgil",West,B,12,IN MEMORY OF,VIRGIL & IVA ROBBINS,GOD BLESS AMERICA,
"Brock, John",West,B,12,THE,JOHN E. BROCK,FAMILY,
"Moyer, Jim",West ,B ,13,JIM & CATHY MOYER,LINDSAY JOHN &,BELLE 2001,
"Meibers, Jay",West,B,13,JAY & CINDY,BROOKE ROBBIE,HANNAH MEIBERS,
"Benner, Lucille",West,B,13,LUCILLE V. BENNER,GOD BLESS USA,,
Marlow Family,West,B ,13,GOD BLESS AMERICA,JIM MARLOW FAMILY,,
"Marlow, Betty",West,B,13,IN MEMORY OF ,BETTY MARLOW,LOVE YOUR FAMILY,
"Davis, Betty",West,A,1,BETTY J. DAVIS,IMAGINE PEACE,,
"Davis, Brad",West,A,1,BRAD & JENNIFER DAVIS,FREEDOM ,THROUGH SACRIFICE,
"Davis, Marc",West,A,1,MARC & CHRISTIE DAVIS,VISIONS OF PEACE,,
"Davis, Wayne",West,A,1,WAYNE & PENNY DAVIS,STAND UNITED,,
"Davis, Quinn",West,A,1,QUINN DAVIS,FREEDOM IN PEACE,,
"Davis, Deana",West,A,2,DEANA M. DAVIS,STRENGTH IN PEACE,,
"Davis, Emily",West,A,2,EMILY C. DAVIS,AMERICA THE BEAUTIFUL,,
"Davis, Lauren",West,A,2,LAUREN E. DAVIS,GOD BLESS THE USA !,,
"Davis-Marguet, Caleb",West,A,2,CALEB DAVIS-MARGUET,FREEDOM ISN'T FREE,,
"Marguet, Rayce",West,A,2,RAYCE S. MARGUET,TO THE VIGIANT,AND THE BRAVE,
"Marguet, Micah",West,A,3,MICAH DAVIS MARGUET,REMEMBERED - PROUD,PREPARED - FREE,
"Springmeier, Ted",West,A,3,TED SPRINGMEIER,MY DAD MY BUDDY,LOVE TEDDY,
"Davis, Caden",West,A,3,CADEN DAVIS,FREEDOM,,
"Davis, Aubrey",West,A,3,AUBREY DAVIS,HOME OF THE BRAVE,,
"Davis, Ava",West,A,3,AVA DAVIS,LAND OF THE FREE,,
Lahrmers Family,West,A,4,THE LAHRMERS,SCOT JACKIE BEAU,,
Mason Family,West,A,4,THE MASONS,MIKE AMY,KELLY AND KRISTEN,
"Mohanco, Michael",West,A,4,IN MEMORY OF,MICHAEL MOHANCO,,
"Stump, Frank",West,A,4,A. FRANK STUMP,IN LOVING MEMORY,12-24-26 - 11-7-99,
"Stump, Ruth",West,A,4,RUTH STUMP,IN LOVING MEMORY,10-14-28 - 3-16-00,
"Dumford, Dick",West,A,5,IN MEMORY OF,DICK DUMFORD,7-10-45 - 1-30-96,
"Dumford, Hellen",West,A,5,HELEN DUMFORD,IN LOVING MEMORY,MOTHER,
Mullers Family,West,A,5,THE MULLERS,"MIKE, GARY","BRETT, NICOLE",
"Stover, Bob",West,A,5,BOB & MICKEY STOVER,IN LOVING MEMORY,GOD BLESS AMERICA,
"Stover, Mike",West,A,5,MIKE & PEGGY STOVER,MARRIED 9-11-97,GOD BLESS AMERICA,
Eifert Family,West,A,6,"BILL, DAN",AND CHARLIE,EIFERT,
"Eifert, Dan",West,A,6,DAN & VICKI,EIFERT,,
"Mount, Vernon",West,A,6,VERNON MOUNT,US MERCHANT MARINES,WWII,
"Ross, Kathryn ",West,A,6,KATHRYN ROSS - TEACHER,WM. MASON HIGH,1962 - 1992,
"Ross, Vincent",West,A,6,VINCENT ROSS - TEACHER,PRINCIPAL FRIEND,5-18-39 - 1-24-01,
"Elzenhoefer, Ray",West,A,7,RAY & HELEN,ELZENHOEFER,,
Koeple Family,West,A,7,NORBERT,KOEPLE,FAMILY,
"Merchant, Herman",West,A,7,IN MEMORY OF,HERMAN & LORRAINE,MERCHANT,
Our Veterans,West,A,7,TO OUR VETERANS,THANK YOU,AMERICA REMEMBERS,
"Perrin, Paul",West,A,7,PAUL & MICHELLE,PERRIN,GOD BLESS AMERICA,
"Alonso, Henry",West,A,8,HENRY ALONSO FAMILY,BLESSED AND THANKFUL,2002,
"Alonso, Jorge",West,A,8,JORGE ALONSO FAMILY,LIFE IS A BLESSING,2002,
"Richardson, Marc",West,A,8,MARC & JACQUELINE,RICHARDSON,AND FAMILY,
"Richardson, Periann",West,A,8,PERIANN RICHARDSON,AND FAMILY,,
"Richardson, Roy",West,A,8,ROY G. & JACQUELINE,RICHARDSON,US ARMY,
"Kurkjian, Brooke",West,A,9,BROOKE KURKJIAN,FREEDOM,,
"Kurkjian, Greg",West,A,9,GREG AND CHRIS,KURKJIAN,GOD BLESS AMERICA,
"Kurkjian, Katherine",West,A,9,KATHERINE KURKJIAN,INDEPENDENCE,,
"Kurkjian, Kerry",West,A,9,KERRY KURKJIAN,LIBERTY,,
"Kurkjian, Mallory",West,A,9,MALLORY KURKJIAN,JUSTICE,,
"Britton, Earnie",West,A,10,BRITTON,EARNIE AND HELEN,MIKE - TIFFANY,
"Britton, Edward",West,A,10,BRITTON,EDWARD AND PAULA,ANDREW - RYAN - ERIC,
"Britton, Ray",West,A,10,BRITTON,RAY AND CINDY,RALPH,
"Britton, Tom",West,A,10,BRITTON,TOM & EDNA,,
"Lydianne, Tom",West,A,10,TOM JR.,JACQUITE,LYDIANNE,
"Chouinard, Emil",West,A,11,EMIL AND LAURIE,CHOUINARD,LAND OF THE FREE !,
"Chouinard, Hannah",West,A,11,HANNAH AND MARIA,CHOUINARD,HOME OF THE BRAVE !,
"Mackinnon, Keith",West,A,11,"KEITH, CYNTHIA",AND ANDY,MACKINNON,
"Vodenik, Evelia M.",West,A,11,EVELIA M. VODENIK,THANK YOU FOR,OUR FREEDOM,
"Vodenik, J. Isaiah",West,A,11,J. ISAIAH VODENIK,THANK YOU VETERANS,GOD BLESS AMERICA,
"McCormick, Dan",West,A,12,"DAN, JANIE, STEVE",& JEFF MCCORMICK,GOD BLESS AMERICA,
"Robinson, James",West,A,12,ROBINSON,"JAMES, MICHELLE S.",AND ZACHARY,
"Saunders, Russell",West,A,12,SAUNDERS,RUSSELL E & EFFIE Y.,,
"Senour, Glen",West,A,12,SENOUR,"GLEN E., PATRICIA",AND LEE ANN YATES,
"Senour, Latanya",West,A,12,LATANYA SUE SENOUR,D. ANDREW SHERROW,,
"Bakhaus, Doerflein, Scaggs",East,A,1,SULLIVAN V. SCAGGS,F. DOERFLEIN,D.E. BAKHAUS,
